"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 116","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","FIPS","Qualifying Name","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Average Family Income (In 2019 Inflation Adjusted Dollars)","Families:","Families: Income in  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income  At or Above Poverty Level"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_FIPS,Geo_QName,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14011_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"ACSSF","al","040","00","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01","Alabama",,,"01","Alabama",3360058,433073,2926985,1887744,885357,337382,90610,38431,2265089,2153467,111622,85629.9572738296,1237883,138836,22864,23058,14090,9112,4978,78824,66508,12316,1099047
"ACSSF","ak","040","00","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02","Alaska",,,"02","Alaska",484058,31090,452968,313812,146157,56574,17614,6690,358661,338011,20650,115639.123665208,163134,10694,2475,1625,1316,925,391,5278,5021,257,152440
"ACSSF","az","040","00","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04","Arizona",,,"04","Arizona",4944540,612998,4331542,3160857,1492158,561120,156620,67278,3482170,3305302,176868,97314.0176043716,1740704,165739,38318,30667,22739,17262,5477,74015,62730,11285,1574965
"ACSSF","ar","040","00","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05","Arkansas",,,"05","Arkansas",2036456,254993,1781463,1071157,475367,168182,46235,18260,1392233,1325091,67142,81640.1631129147,755305,88604,22468,12047,8964,6983,1981,45125,38273,6852,666701
"ACSSF","ca","040","00","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06","California",,,"06","California",26937872,4301513,22636359,17089648,9428484,3538760,1137842,465535,20095761,19078101,1017660,126353.517553301,8972643,738997,192527,122453,83710,58318,25392,340307,282036,58271,8233646
"ACSSF","co","040","00","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08","Colorado",,,"08","Colorado",3974943,302220,3672723,2836133,1695602,637777,165840,73582,3147670,3032173,115497,121598.217033655,1421844,82837,20786,13960,8618,6156,2462,39473,33543,5930,1339007
"ACSSF","ct","040","00","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09","Connecticut",,,"09","Connecticut",2496420,231839,2264581,1596220,994548,445382,122135,42555,1926486,1823915,102571,140128.577362737,885911,60281,8915,8111,5587,3587,2000,37668,30870,6798,825630
"ACSSF","de","040","00","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10","Delaware",,,"10","Delaware",687311,66522,620789,413147,228199,93912,24889,11620,488692,466061,22631,109065.02531082,242584,18425,4050,2473,2049,1521,528,9853,8463,1390,224159
"ACSSF","dc","040","00","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",,,"11","District of Columbia",505145,41168,463977,384096,301429,171604,63992,19752,413742,387826,25916,175609.702507641,124978,11036,352,645,980,527,453,9059,6634,2425,113942
