"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic GEOCOMP","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Average Family Income (In 2018 Inflation Adjusted Dollars)","Families:","Families: Income in  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income  At or Above Poverty Level"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14011_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337464,448179,2889285,1862309,852037,315951,86467,35586,2219106,2094271,124835,82884.0759009347,1214794,148603,26408,21316,11145,7587,3558,89734,75235,14499,1066191
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485353,32444,452909,315616,146428,56793,18211,7362,371179,345769,25410,109619.210634704,167527,12621,3204,1850,2710,1549,1161,4857,4405,452,154906
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840304,605934,4234370,3075073,1438493,540461,151111,63032,3396893,3215136,181757,92154.4852732565,1713006,170206,44816,28233,19304,14598,4706,77853,66145,11708,1542800
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021939,258986,1762953,1076086,471275,174853,49358,19289,1379147,1317275,61872,79300.4969225129,769134,97453,17698,15689,10347,7345,3002,53719,45967,7752,671681
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26815644,4355017,22460627,16901265,9171076,3466224,1100430,446190,20038676,18930012,1108664,119820.267015243,8934621,811643,215097,133733,90510,62898,27612,372303,306635,65668,8122978
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900287,317116,3583171,2770556,1625549,611560,166646,67669,3105292,2982794,122498,114334.313199121,1372705,85547,19092,14413,9781,7716,2065,42261,36331,5930,1287158
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493396,226254,2267142,1597175,987230,443202,117300,41772,1928922,1822551,106371,135132.080252485,891935,62963,10795,7943,7172,5076,2096,37053,30152,6901,828972
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679700,69081,610619,384822,212992,88814,22423,11657,486292,458434,27858,99557.8609809605,238399,20026,4237,2927,2133,1679,454,10729,9466,1263,218373
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500176,39628,460548,377648,302170,172388,62533,19799,412057,380983,31074,165174.050638119,121529,13761,770,985,1584,1297,287,10422,8190,2232,107768
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15302125,1761732,13540393,9152439,4647230,1726771,536226,182063,10265785,9734940,530845,93125.8003805818,5026515,488362,96842,106107,49092,33479,15613,236321,190344,45977,4538153
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6978172,866099,6112073,4169951,2224033,861716,255371,98824,5203362,4953466,249896,96467.3345140667,2537406,275202,48640,39687,29266,20400,8866,157609,132749,24860,2262204
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995589,80079,915510,648782,333573,114745,35270,13969,712135,684905,27230,117061.530886952,316849,17920,2929,3323,1710,1329,381,9958,8580,1378,298929
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143747,103868,1039879,721661,316262,102800,30335,13571,840240,806802,33438,85209.7246239421,437765,35922,9086,7361,3586,1977,1609,15889,14135,1754,401843
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8706376,914782,7791594,5522309,3052684,1219018,331559,124770,6662825,6294086,368739,109310.32281417,3119101,264678,48790,38409,27547,19402,8145,149932,125054,24878,2854423
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4467893,491834,3976059,2496019,1211066,439255,113388,48105,3388035,3238769,149266,87828.3848510197,1683176,156585,32525,22396,17619,13803,3816,84045,74568,9477,1526591
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104792,162649,1942143,1292874,610540,197098,63193,27509,1676716,1615999,60717,93160.1889972749,800329,57311,10259,8883,5738,4521,1217,32431,28767,3664,743018
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911426,172033,1739393,1253640,646143,243775,64460,27471,1499747,1442550,57197,95478.3678799254,726748,58190,11827,9240,8302,6636,1666,28821,25268,3553,668558
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039414,401064,2638350,1647439,753785,311695,85514,31886,2105668,1995789,109879,81781.8746943395,1138927,143499,31592,23579,13980,10398,3582,74348,62982,11366,995428
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125733,442559,2683174,1611402,758653,262019,78724,29574,2152802,2015672,137130,83031.255911452,1104847,150690,20700,20145,18642,12291,6351,91203,78796,12407,954157
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983382,68461,914921,605662,310050,112561,32799,13595,703405,678540,24865,89437.4307384204,342542,25166,4251,5049,3172,2569,603,12694,11446,1248,317376
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4167339,396131,3771208,2761713,1700695,788934,242674,108754,3251246,3090469,160777,128917.888549905,1472372,88511,14488,12706,8663,6877,1786,52654,42789,9865,1383861
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832728,446304,4386424,3260241,2152010,973142,291509,140736,3803704,3622984,180720,134462.601500421,1644205,106906,17828,17783,9689,6797,2892,61606,51825,9781,1537299
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6869846,612424,6257422,4284567,2031893,792642,202466,81683,4973988,4708456,265532,93319.5637620779,2520001,238401,44759,37107,28507,22357,6150,128028,108118,19910,2281600
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809229,252805,3556424,2635137,1398128,477278,140089,53690,3078157,2973535,104622,112397.945486449,1396827,79752,16799,12845,8104,5636,2468,42004,36567,5437,1317075
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977283,288595,1688688,1099325,458694,173993,51001,19365,1326206,1231410,94796,73550.4736602065,727948,109072,15095,13165,8416,6011,2405,72396,59929,12467,618876
