"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Average Family Income (In 2017 Inflation Adjusted Dollars)","Families:","Families: Income in  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income  At or Above Poverty Level"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14011_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"01","04000US01","Alabama","Alabama","al",,,"ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309607,446943,2862664,1832682,844704,316685,88371,36552,2194187,2065885,128302,79810.2543098757,1203689,154370,25102,21526,12997,8212,4785,94745,80329,14416,1049319
"02","04000US02","Alaska","Alaska","ak",,,"ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481561,40036,441525,308393,138684,52240,15235,4562,373249,344982,28267,104900.925920395,167401,12388,3352,1860,2056,1887,169,5120,4532,588,155013
"04","04000US04","Arizona","Arizona","az",,,"ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711362,604898,4106464,2969971,1383092,520030,146951,56494,3318675,3125954,192721,89646.8159109134,1652325,176062,42086,32318,21609,15821,5788,80049,69133,10916,1476263
"05","04000US05","Arkansas","Arkansas","ar",,,"ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008398,267542,1740856,1057571,470114,168820,51997,21225,1373376,1296881,76495,76133.5381390462,754699,87890,19014,12680,8966,6282,2684,47230,41245,5985,666809
"06","04000US06","California","California","ca",,,"ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26679273,4449302,22229971,16688789,8976247,3359798,1073789,424770,19936052,18757501,1178551,113488.31319986,8910617,858067,241754,131505,98151,69985,28166,386657,320644,66013,8052550
"08","04000US08","Colorado","Colorado","co",,,"ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3822068,319636,3502432,2686837,1574697,579803,158043,66125,3027185,2899926,127259,109021.70467374,1366807,91960,22082,16379,9483,6924,2559,44016,36042,7974,1274847
"09","04000US09","Connecticut","Connecticut","ct",,,"ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493854,239289,2254565,1577654,964607,430816,119773,42958,1922383,1805023,117360,129912.725053089,877293,55756,9434,8189,5613,4128,1485,32520,26981,5539,821537
"10","04000US10","Delaware","Delaware","de",,,"ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673686,63551,610135,391826,212083,90641,24818,12290,460676,436376,24300,101185.679509744,235795,21665,4809,4802,2402,1549,853,9652,7983,1669,214130
"11","04000US11","District of Columbia","District of Columbia","dc",,,"ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494614,48331,446283,361250,283519,165347,62203,22310,405506,378780,26726,155436.207344353,119357,15929,1454,952,1628,1088,540,11895,9108,2787,103428
